ASN,ASN_NAME,SOURCE,ASOF_DATE
131976,AS-MF-FUKUOKA,PeeringDB,2021-12-31
58941,AS-MEGAPORT-RS-SYD AS-MEGAPORT-RS-PER,PeeringDB,2021-12-31
58943,AS-MEGAPORT-RS-MEL,PeeringDB,2021-12-31
58942,AS-MEGAPORT-RS-BNE,PeeringDB,2021-12-31
265377,AS-FLASHNET,PeeringDB,2021-12-31
198362,AS-HELIACAL,PeeringDB,2021-12-31
18541,AS-BJN-US,PeeringDB,2021-12-31
14868,AS14868:AS-ALL,PeeringDB,2021-12-31
38622,AS-LLNW,PeeringDB,2021-12-31
268613,AS-VERO-INTERNET-CUSTOMER,PeeringDB,2021-12-31
141120,AS141120:AS-SET-WARNAHOST-AS-ID,PeeringDB,2021-12-31
62310,AS-BX-MH,PeeringDB,2021-12-31
134899,AS134899,PeeringDB,2021-12-31
264494,AS264494,PeeringDB,2021-12-31
210570,AS-ATHORIO,PeeringDB,2021-12-31
44222,AS-CLOUDITY,PeeringDB,2021-12-31
44227,AS-JUSTNET,PeeringDB,2021-12-31
202540,AS-CDSTEPHENS,PeeringDB,2021-12-31
139195,AS139195:AS-SEANS,PeeringDB,2021-12-31
138810,AS-GLOSINDO,PeeringDB,2021-12-31
22386,AS22386,PeeringDB,2021-12-31
